title,stem,tokens,tokens_clean,merged
"gempa 6,3 sr guncang sarmi papua, warga sempat panik keluar rumah",gempa 6 3 sr guncang sarmi papua warga sempat panik keluar rumah,"['gempa', '6', '3', 'sr', 'guncang', 'sarmi', 'papua', 'warga', 'sempat', 'panik', 'keluar', 'rumah']","['gempa', '6', '3', 'sr', 'guncang', 'sarmi', 'papua', 'warga', 'panik', 'rumah']",gempa 6 3 sr guncang sarmi papua warga panik rumah
mamberamo dan laut banda memang punya riwayat panjang gempa bumi,mamberamo dan laut banda memang punya riwayat panjang gempa bumi,"['mamberamo', 'dan', 'laut', 'banda', 'memang', 'punya', 'riwayat', 'panjang', 'gempa', 'bumi']","['mamberamo', 'laut', 'banda', 'riwayat', 'gempa', 'bumi']",mamberamo laut banda riwayat gempa bumi
"gempa 6,0 sr guncang mamberamo tengah papua pagi ini",gempa 6 0 sr guncang mamberamo tengah papua pagi ini,"['gempa', '6', '0', 'sr', 'guncang', 'mamberamo', 'tengah', 'papua', 'pagi', 'ini']","['gempa', '6', '0', 'sr', 'guncang', 'mamberamo', 'papua', 'pagi']",gempa 6 0 sr guncang mamberamo papua pagi
mamberamo raya disebut bpbd papua alami 30 kali gempa susulan,mamberamo raya sebut bpbd papua alami 30 kali gempa susul,"['mamberamo', 'raya', 'sebut', 'bpbd', 'papua', 'alami', '30', 'kali', 'gempa', 'susul']","['mamberamo', 'raya', 'bpbd', 'papua', 'alami', '30', 'kali', 'gempa', 'susul']",mamberamo raya bpbd papua alami 30 kali gempa susul
johari zein foundation membangun masjid anti gempa di lombok,johari zein foundation bangun masjid anti gempa di lombok,"['johari', 'zein', 'foundation', 'bangun', 'masjid', 'anti', 'gempa', 'di', 'lombok']","['johari', 'zein', 'foundation', 'bangun', 'masjid', 'anti', 'gempa', 'lombok']",johari zein foundation bangun masjid anti gempa lombok
"gempa bumi m 6,3 guncang perbatasan kosta rika dan panama",gempa bumi m 6 3 guncang batas kosta rika dan panama,"['gempa', 'bumi', 'm', '6', '3', 'guncang', 'batas', 'kosta', 'rika', 'dan', 'panama']","['gempa', 'bumi', 'm', '6', '3', 'guncang', 'batas', 'kosta', 'rika', 'panama']",gempa bumi m 6 3 guncang batas kosta rika panama
"di hari kemerdekaan as, gempa dahsyat guncang california",di hari merdeka as gempa dahsyat guncang california,"['di', 'hari', 'merdeka', 'as', 'gempa', 'dahsyat', 'guncang', 'california']","['merdeka', 'as', 'gempa', 'dahsyat', 'guncang', 'california']",merdeka as gempa dahsyat guncang california
3 prediksi bencana dahsyat yang bisa amuk amerika serikat,3 prediksi bencana dahsyat yang bisa amuk amerika serikat,"['3', 'prediksi', 'bencana', 'dahsyat', 'yang', 'bisa', 'amuk', 'amerika', 'serikat']","['3', 'prediksi', 'bencana', 'dahsyat', 'amuk', 'amerika', 'serikat']",3 prediksi bencana dahsyat amuk amerika serikat
penjelasan bmkg soal gempa m 7 di ternate maluku utara,jelas bmkg soal gempa m 7 di ternate malu utara,"['jelas', 'bmkg', 'soal', 'gempa', 'm', '7', 'di', 'ternate', 'malu', 'utara']","['bmkg', 'gempa', 'm', '7', 'ternate', 'malu', 'utara']",bmkg gempa m 7 ternate malu utara
"gempa magnitudo 7,1 guncang ternate, warga panik lari keluar rumah",gempa magnitudo 7 1 guncang ternate warga panik lari keluar rumah,"['gempa', 'magnitudo', '7', '1', 'guncang', 'ternate', 'warga', 'panik', 'lari', 'keluar', 'rumah']","['gempa', 'magnitudo', '7', '1', 'guncang', 'ternate', 'warga', 'panik', 'lari', 'rumah']",gempa magnitudo 7 1 guncang ternate warga panik lari rumah
"gempa magnitudo 7,1 guncang ternate, peringatan tsunami di sulut dan malut",gempa magnitudo 7 1 guncang ternate ingat tsunami di sulut dan malut,"['gempa', 'magnitudo', '7', '1', 'guncang', 'ternate', 'ingat', 'tsunami', 'di', 'sulut', 'dan', 'malut']","['gempa', 'magnitudo', '7', '1', 'guncang', 'ternate', 'tsunami', 'sulut', 'malut']",gempa magnitudo 7 1 guncang ternate tsunami sulut malut
"unggah gambar 'ular raksasa penyebab gempa bumi', pria china diringkus polisi",unggah gambar ular raksasa sebab gempa bumi pria china ringkus polisi,"['unggah', 'gambar', 'ular', 'raksasa', 'sebab', 'gempa', 'bumi', 'pria', 'china', 'ringkus', 'polisi']","['unggah', 'gambar', 'ular', 'raksasa', 'gempa', 'bumi', 'pria', 'china', 'ringkus', 'polisi']",unggah gambar ular raksasa gempa bumi pria china ringkus polisi
"pasca gempa, semua fasilitas pertamina di ternate aman",pasca gempa semua fasilitas pertamina di ternate aman,"['pasca', 'gempa', 'semua', 'fasilitas', 'pertamina', 'di', 'ternate', 'aman']","['pasca', 'gempa', 'fasilitas', 'pertamina', 'ternate', 'aman']",pasca gempa fasilitas pertamina ternate aman
"beredar surat potensi gempa bumi dan tsunami di lombok, ini penjelasan bmkg",edar surat potensi gempa bumi dan tsunami di lombok ini jelas bmkg,"['edar', 'surat', 'potensi', 'gempa', 'bumi', 'dan', 'tsunami', 'di', 'lombok', 'ini', 'jelas', 'bmkg']","['edar', 'surat', 'potensi', 'gempa', 'bumi', 'tsunami', 'lombok', 'bmkg']",edar surat potensi gempa bumi tsunami lombok bmkg
mitos hewan mistis... fakta di balik gempa bumi yang jarang orang tahu,mitos hewan mistis fakta di balik gempa bumi yang jarang orang tahu,"['mitos', 'hewan', 'mistis', 'fakta', 'di', 'balik', 'gempa', 'bumi', 'yang', 'jarang', 'orang', 'tahu']","['mitos', 'hewan', 'mistis', 'fakta', 'gempa', 'bumi', 'jarang', 'orang']",mitos hewan mistis fakta gempa bumi jarang orang
[fakta] surat imbauan bmkg soal waspada gempa bumi dan tsunami di selatan lombok,fakta surat imbau bmkg soal waspada gempa bumi dan tsunami di selatan lombok,"['fakta', 'surat', 'imbau', 'bmkg', 'soal', 'waspada', 'gempa', 'bumi', 'dan', 'tsunami', 'di', 'selatan', 'lombok']","['fakta', 'surat', 'imbau', 'bmkg', 'waspada', 'gempa', 'bumi', 'tsunami', 'selatan', 'lombok']",fakta surat imbau bmkg waspada gempa bumi tsunami selatan lombok
bmkg ungkap alasan halmahera selatan kerap diguncang gempa,bmkg ungkap alas halmahera selatan kerap guncang gempa,"['bmkg', 'ungkap', 'alas', 'halmahera', 'selatan', 'kerap', 'guncang', 'gempa']","['bmkg', 'alas', 'halmahera', 'selatan', 'kerap', 'guncang', 'gempa']",bmkg alas halmahera selatan kerap guncang gempa
"gempa bali, getarannya terasa kencang hingga jawa timur",gempa bal getar asa kencang hingga jawa timur,"['gempa', 'bal', 'getar', 'asa', 'kencang', 'hingga', 'jawa', 'timur']","['gempa', 'bal', 'getar', 'asa', 'kencang', 'jawa', 'timur']",gempa bal getar asa kencang jawa timur
rumah dan warga banyuwangi jadi korban gempa bali,rumah dan warga banyuwangi jadi korban gempa bal,"['rumah', 'dan', 'warga', 'banyuwangi', 'jadi', 'korban', 'gempa', 'bal']","['rumah', 'warga', 'banyuwangi', 'korban', 'gempa', 'bal']",rumah warga banyuwangi korban gempa bal
"5 gempa paling besar di bali dalam catatan sejarah, peristiwa gejer bali telan 10.252 korban jiwa",5 gempa paling besar di bal dalam catat sejarah peristiwa gejer bal telan 10 252 korban jiwa,"['5', 'gempa', 'paling', 'besar', 'di', 'bal', 'dalam', 'catat', 'sejarah', 'peristiwa', 'gejer', 'bal', 'telan', '10', '252', 'korban', 'jiwa']","['5', 'gempa', 'bal', 'catat', 'sejarah', 'peristiwa', 'gejer', 'bal', 'telan', '10', '252', 'korban', 'jiwa']",5 gempa bal catat sejarah peristiwa gejer bal telan 10 252 korban jiwa
"gempa m 6 bali dirasakan di lombok hingga jatim, ini analisis pvmbg",gempa m 6 bal rasa di lombok hingga jatim ini analisis pvmbg,"['gempa', 'm', '6', 'bal', 'rasa', 'di', 'lombok', 'hingga', 'jatim', 'ini', 'analisis', 'pvmbg']","['gempa', 'm', '6', 'bal', 'lombok', 'jatim', 'analisis', 'pvmbg']",gempa m 6 bal lombok jatim analisis pvmbg
"gempa maluku utara, 4 korban tewas dan ribuan orang mengungsi",gempa malu utara 4 korban tewas dan ribu orang ungsi,"['gempa', 'malu', 'utara', '4', 'korban', 'tewas', 'dan', 'ribu', 'orang', 'ungsi']","['gempa', 'malu', 'utara', '4', 'korban', 'tewas', 'ribu', 'orang', 'ungsi']",gempa malu utara 4 korban tewas ribu orang ungsi
"usai gempa m 5,8, bmkg catat ada 9 gempa susulan di bali",usai gempa m 5 8 bmkg catat ada 9 gempa susul di bal,"['usai', 'gempa', 'm', '5', '8', 'bmkg', 'catat', 'ada', '9', 'gempa', 'susul', 'di', 'bal']","['gempa', 'm', '5', '8', 'bmkg', 'catat', '9', 'gempa', 'susul', 'bal']",gempa m 5 8 bmkg catat 9 gempa susul bal
"gempa bali terasa hingga jawa timur, tercatat ada 9 gempa susulan",gempa bal asa hingga jawa timur catat ada 9 gempa susul,"['gempa', 'bal', 'asa', 'hingga', 'jawa', 'timur', 'catat', 'ada', '9', 'gempa', 'susul']","['gempa', 'bal', 'asa', 'jawa', 'timur', 'catat', '9', 'gempa', 'susul']",gempa bal asa jawa timur catat 9 gempa susul
bmkg ungkap catatan sejarah gempa bumi di bali,bmkg ungkap catat sejarah gempa bumi di bal,"['bmkg', 'ungkap', 'catat', 'sejarah', 'gempa', 'bumi', 'di', 'bal']","['bmkg', 'catat', 'sejarah', 'gempa', 'bumi', 'bal']",bmkg catat sejarah gempa bumi bal
"gempa guncang bali, tagar #prayforbali menggema di twitter",gempa guncang bal tagar prayforbali gema di twitter,"['gempa', 'guncang', 'bal', 'tagar', 'prayforbali', 'gema', 'di', 'twitter']","['gempa', 'guncang', 'bal', 'tagar', 'prayforbali', 'gema', 'twitter']",gempa guncang bal tagar prayforbali gema twitter
"terjadi pada sasih kasa, gempa dianggap pertanda baik bagi orang bali halaman all   kompas.com",jadi pada sasih kasa gempa anggap tanda baik bagi orang bal halaman all kompas com,"['jadi', 'pada', 'sasih', 'kasa', 'gempa', 'anggap', 'tanda', 'baik', 'bagi', 'orang', 'bal', 'halaman', 'all', 'kompas', 'com']","['sasih', 'kasa', 'gempa', 'anggap', 'tanda', 'orang', 'bal', 'halaman', 'all', 'kompas', 'com']",sasih kasa gempa anggap tanda orang bal halaman all kompas com
gempa halmahera selatan telan enam korban meninggal dunia,gempa halmahera selatan telan enam korban tinggal dunia,"['gempa', 'halmahera', 'selatan', 'telan', 'enam', 'korban', 'tinggal', 'dunia']","['gempa', 'halmahera', 'selatan', 'telan', 'enam', 'korban', 'tinggal', 'dunia']",gempa halmahera selatan telan enam korban tinggal dunia
gempa pangandaran 2006 dan riwayat lindu di selatan jawa,gempa pangandaran 2006 dan riwayat lindu di selatan jawa,"['gempa', 'pangandaran', '2006', 'dan', 'riwayat', 'lindu', 'di', 'selatan', 'jawa']","['gempa', 'pangandaran', '2006', 'riwayat', 'lindu', 'selatan', 'jawa']",gempa pangandaran 2006 riwayat lindu selatan jawa
bmkg akan tambah 194 alat pendeteksi gempa bumi,bmkg akan tambah 194 alat deteksi gempa bumi,"['bmkg', 'akan', 'tambah', '194', 'alat', 'deteksi', 'gempa', 'bumi']","['bmkg', '194', 'alat', 'deteksi', 'gempa', 'bumi']",bmkg 194 alat deteksi gempa bumi
"simimi dari papua, aplikasi laporan dampak gempa bumi dan tsunami",simimi dari papua aplikasi lapor dampak gempa bumi dan tsunami,"['simimi', 'dari', 'papua', 'aplikasi', 'lapor', 'dampak', 'gempa', 'bumi', 'dan', 'tsunami']","['simimi', 'papua', 'aplikasi', 'lapor', 'dampak', 'gempa', 'bumi', 'tsunami']",simimi papua aplikasi lapor dampak gempa bumi tsunami
"soal gempa bali, bmkg ingatkan warga mitigasi bencana",soal gempa bal bmkg ingat warga mitigasi bencana,"['soal', 'gempa', 'bal', 'bmkg', 'ingat', 'warga', 'mitigasi', 'bencana']","['gempa', 'bal', 'bmkg', 'warga', 'mitigasi', 'bencana']",gempa bal bmkg warga mitigasi bencana
"pantai selatan yogyakarta rawan potensi gempa dan tsunami, ini yang harus dilakukan",pantai selatan yogyakarta rawan potensi gempa dan tsunami ini yang harus laku,"['pantai', 'selatan', 'yogyakarta', 'rawan', 'potensi', 'gempa', 'dan', 'tsunami', 'ini', 'yang', 'harus', 'laku']","['pantai', 'selatan', 'yogyakarta', 'rawan', 'potensi', 'gempa', 'tsunami', 'laku']",pantai selatan yogyakarta rawan potensi gempa tsunami laku
"fenomena topi awan di gunung rinjani dikaitkan gempa, ini penjelasannya",fenomena topi awan di gunung rinjani kait gempa ini jelas,"['fenomena', 'topi', 'awan', 'di', 'gunung', 'rinjani', 'kait', 'gempa', 'ini', 'jelas']","['fenomena', 'topi', 'awan', 'gunung', 'rinjani', 'kait', 'gempa']",fenomena topi awan gunung rinjani kait gempa
"gempa m 4,5 terjadi di tasikmalaya, terasa hingga pangandaran",gempa m 4 5 jadi di tasikmalaya asa hingga pangandaran,"['gempa', 'm', '4', '5', 'jadi', 'di', 'tasikmalaya', 'asa', 'hingga', 'pangandaran']","['gempa', 'm', '4', '5', 'tasikmalaya', 'asa', 'pangandaran']",gempa m 4 5 tasikmalaya asa pangandaran
"gempa guncang yunani, gedung ibu kota diklaim tahan guncangan kuat",gempa guncang yunani gedung ibu kota klaim tahan guncang kuat,"['gempa', 'guncang', 'yunani', 'gedung', 'ibu', 'kota', 'klaim', 'tahan', 'guncang', 'kuat']","['gempa', 'guncang', 'yunani', 'gedung', 'kota', 'klaim', 'tahan', 'guncang', 'kuat']",gempa guncang yunani gedung kota klaim tahan guncang kuat
"heboh potensi gempa di wilayah selatan jawa, ini penjelasan bmkg   kumparan.com",heboh potensi gempa di wilayah selatan jawa ini jelas bmkg kumpar com,"['heboh', 'potensi', 'gempa', 'di', 'wilayah', 'selatan', 'jawa', 'ini', 'jelas', 'bmkg', 'kumpar', 'com']","['heboh', 'potensi', 'gempa', 'wilayah', 'selatan', 'jawa', 'bmkg', 'kumpar', 'com']",heboh potensi gempa wilayah selatan jawa bmkg kumpar com
bmkg imbau masyarakat tak resah pada isu gempa bumi dahsyat,bmkg imbau masyarakat tak resah pada isu gempa bumi dahsyat,"['bmkg', 'imbau', 'masyarakat', 'tak', 'resah', 'pada', 'isu', 'gempa', 'bumi', 'dahsyat']","['bmkg', 'imbau', 'masyarakat', 'resah', 'isu', 'gempa', 'bumi', 'dahsyat']",bmkg imbau masyarakat resah isu gempa bumi dahsyat
"gempa m 5,3 terjadi di nusa dua bali",gempa m 5 3 jadi di nusa dua bal,"['gempa', 'm', '5', '3', 'jadi', 'di', 'nusa', 'dua', 'bal']","['gempa', 'm', '5', '3', 'nusa', 'bal']",gempa m 5 3 nusa bal
mungkinkah terjadi tsunami di danau?   kumparan.com,mungkin jadi tsunami di danau kumpar com,"['mungkin', 'jadi', 'tsunami', 'di', 'danau', 'kumpar', 'com']","['tsunami', 'danau', 'kumpar', 'com']",tsunami danau kumpar com
"rentetan gempa di bali, gempa pembuka atau bukan?",rentet gempa di bal gempa buka atau bukan,"['rentet', 'gempa', 'di', 'bal', 'gempa', 'buka', 'atau', 'bukan']","['rentet', 'gempa', 'bal', 'gempa', 'buka']",rentet gempa bal gempa buka
"pasca gempa magnitudo 7,2 di halmahera selatan, 13 meninggal hingga 26 sekolah rusak halaman all   kompas.com",pasca gempa magnitudo 7 2 di halmahera selatan 13 tinggal hingga 26 sekolah rusak halaman all kompas com,"['pasca', 'gempa', 'magnitudo', '7', '2', 'di', 'halmahera', 'selatan', '13', 'tinggal', 'hingga', '26', 'sekolah', 'rusak', 'halaman', 'all', 'kompas', 'com']","['pasca', 'gempa', 'magnitudo', '7', '2', 'halmahera', 'selatan', '13', 'tinggal', '26', 'sekolah', 'rusak', 'halaman', 'all', 'kompas', 'com']",pasca gempa magnitudo 7 2 halmahera selatan 13 tinggal 26 sekolah rusak halaman all kompas com
alat pendeteksi gempa sesar palu koro dicuri orang,alat deteksi gempa sesar palu koro curi orang,"['alat', 'deteksi', 'gempa', 'sesar', 'palu', 'koro', 'curi', 'orang']","['alat', 'deteksi', 'gempa', 'sesar', 'palu', 'koro', 'curi', 'orang']",alat deteksi gempa sesar palu koro curi orang
"gempa guncang 3 kabupaten di jawa, bukti sesar citanduy masih aktif   kumparan.com",gempa guncang 3 kabupaten di jawa bukti sesar citanduy masih aktif kumpar com,"['gempa', 'guncang', '3', 'kabupaten', 'di', 'jawa', 'bukti', 'sesar', 'citanduy', 'masih', 'aktif', 'kumpar', 'com']","['gempa', 'guncang', '3', 'kabupaten', 'jawa', 'bukti', 'sesar', 'citanduy', 'aktif', 'kumpar', 'com']",gempa guncang 3 kabupaten jawa bukti sesar citanduy aktif kumpar com
kerugian materi akibat gempa bumi di maluku diperkirakan rp 300 miliar,rugi materi akibat gempa bumi di malu kira rp 300 miliar,"['rugi', 'materi', 'akibat', 'gempa', 'bumi', 'di', 'malu', 'kira', 'rp', '300', 'miliar']","['rugi', 'materi', 'akibat', 'gempa', 'bumi', 'malu', 'rp', '300', 'miliar']",rugi materi akibat gempa bumi malu rp 300 miliar
"gempa magnitudo 5,2 guncang bayah banten, tidak berpotensi tsunami",gempa magnitudo 5 2 guncang bayah banten tidak potensi tsunami,"['gempa', 'magnitudo', '5', '2', 'guncang', 'bayah', 'banten', 'tidak', 'potensi', 'tsunami']","['gempa', 'magnitudo', '5', '2', 'guncang', 'bayah', 'banten', 'potensi', 'tsunami']",gempa magnitudo 5 2 guncang bayah banten potensi tsunami
"gempa banten dipicu aktivitas lempeng indo australia, apa itu?",gempa banten picu aktivitas lempeng indo australia apa itu,"['gempa', 'banten', 'picu', 'aktivitas', 'lempeng', 'indo', 'australia', 'apa', 'itu']","['gempa', 'banten', 'picu', 'aktivitas', 'lempeng', 'indo', 'australia']",gempa banten picu aktivitas lempeng indo australia
"pasca gempa 7,2 magnitudo di halmahera, tanggap darurat dicabut hingga kerugian rp 300 miliar halaman all ...",pasca gempa 7 2 magnitudo di halmahera tanggap darurat cabut hingga rugi rp 300 miliar halaman all,"['pasca', 'gempa', '7', '2', 'magnitudo', 'di', 'halmahera', 'tanggap', 'darurat', 'cabut', 'hingga', 'rugi', 'rp', '300', 'miliar', 'halaman', 'all']","['pasca', 'gempa', '7', '2', 'magnitudo', 'halmahera', 'tanggap', 'darurat', 'cabut', 'rugi', 'rp', '300', 'miliar', 'halaman', 'all']",pasca gempa 7 2 magnitudo halmahera tanggap darurat cabut rugi rp 300 miliar halaman all
"tinggal di jepang, kenali aneka bencana alam yang mengintai",tinggal di jepang kenal aneka bencana alam yang intai,"['tinggal', 'di', 'jepang', 'kenal', 'aneka', 'bencana', 'alam', 'yang', 'intai']","['tinggal', 'jepang', 'kenal', 'aneka', 'bencana', 'alam', 'intai']",tinggal jepang kenal aneka bencana alam intai
"gempa banten m 7,4: warga anyer tak saksikan air laut surut",gempa banten m 7 4 warga anyer tak saksi air laut surut,"['gempa', 'banten', 'm', '7', '4', 'warga', 'anyer', 'tak', 'saksi', 'air', 'laut', 'surut']","['gempa', 'banten', 'm', '7', '4', 'warga', 'anyer', 'saksi', 'air', 'laut', 'surut']",gempa banten m 7 4 warga anyer saksi air laut surut
"gempa banten berpotensi tsunami, ini 3 daerah yang harus siaga",gempa banten potensi tsunami ini 3 daerah yang harus siaga,"['gempa', 'banten', 'potensi', 'tsunami', 'ini', '3', 'daerah', 'yang', 'harus', 'siaga']","['gempa', 'banten', 'potensi', 'tsunami', '3', 'daerah', 'siaga']",gempa banten potensi tsunami 3 daerah siaga
"gempa banten, bmkg revisi magnitudo jadi 6,9 dan kedalaman 48 km",gempa banten bmkg revisi magnitudo jadi 6 9 dan dalam 48 km,"['gempa', 'banten', 'bmkg', 'revisi', 'magnitudo', 'jadi', '6', '9', 'dan', 'dalam', '48', 'km']","['gempa', 'banten', 'bmkg', 'revisi', 'magnitudo', '6', '9', '48', 'km']",gempa banten bmkg revisi magnitudo 6 9 48 km
mrt jakarta berikan panduan ketika hadapi gempa bumi,mrt jakarta ikan pandu ketika hadap gempa bumi,"['mrt', 'jakarta', 'ikan', 'pandu', 'ketika', 'hadap', 'gempa', 'bumi']","['mrt', 'jakarta', 'ikan', 'pandu', 'hadap', 'gempa', 'bumi']",mrt jakarta ikan pandu hadap gempa bumi
"gempa banten berkekuatan m 7,4 terasa sampai bali",gempa banten kuat m 7 4 asa sampai bal,"['gempa', 'banten', 'kuat', 'm', '7', '4', 'asa', 'sampai', 'bal']","['gempa', 'banten', 'kuat', 'm', '7', '4', 'asa', 'bal']",gempa banten kuat m 7 4 asa bal
6 cara menghadapi gempa bumi yang wajib diketahui!,6 cara hadap gempa bumi yang wajib tahu,"['6', 'cara', 'hadap', 'gempa', 'bumi', 'yang', 'wajib', 'tahu']","['6', 'hadap', 'gempa', 'bumi', 'wajib']",6 hadap gempa bumi wajib
"potensi tsunami, warga sumur banten panik & mulai mengungsi",potensi tsunami warga sumur banten panik mulai ungsi,"['potensi', 'tsunami', 'warga', 'sumur', 'banten', 'panik', 'mulai', 'ungsi']","['potensi', 'tsunami', 'warga', 'sumur', 'banten', 'panik', 'ungsi']",potensi tsunami warga sumur banten panik ungsi
video dan foto data korban gempa banten versi bnpb dan alasan pakar ugm sebut tak berpotensi tsunami,video dan foto data korban gempa banten versi bnpb dan alas pakar ugm sebut tak potensi tsunami,"['video', 'dan', 'foto', 'data', 'korban', 'gempa', 'banten', 'versi', 'bnpb', 'dan', 'alas', 'pakar', 'ugm', 'sebut', 'tak', 'potensi', 'tsunami']","['video', 'foto', 'data', 'korban', 'gempa', 'banten', 'versi', 'bnpb', 'alas', 'pakar', 'ugm', 'potensi', 'tsunami']",video foto data korban gempa banten versi bnpb alas pakar ugm potensi tsunami
"gempa banten, kepala bnpb: 2 tewas & 200 rumah rusak",gempa banten kepala bnpb 2 tewas 200 rumah rusak,"['gempa', 'banten', 'kepala', 'bnpb', '2', 'tewas', '200', 'rumah', 'rusak']","['gempa', 'banten', 'kepala', 'bnpb', '2', 'tewas', '200', 'rumah', 'rusak']",gempa banten kepala bnpb 2 tewas 200 rumah rusak
"bukan skala richter, bmkg gunakan magnitudo untuk kekuatan gempa",bukan skala richter bmkg guna magnitudo untuk kuat gempa,"['bukan', 'skala', 'richter', 'bmkg', 'guna', 'magnitudo', 'untuk', 'kuat', 'gempa']","['skala', 'richter', 'bmkg', 'magnitudo', 'kuat', 'gempa']",skala richter bmkg magnitudo kuat gempa
wajib tahu! hal hal penting yang harus kamu lakukan saat terjadi gempa,wajib tahu hal hal penting yang harus kamu laku saat jadi gempa,"['wajib', 'tahu', 'hal', 'hal', 'penting', 'yang', 'harus', 'kamu', 'laku', 'saat', 'jadi', 'gempa']","['wajib', 'laku', 'gempa']",wajib laku gempa
"fakta fakta gempa banten m 6,9 yang berpotensi tsunami   news liputan6.com",fakta fakta gempa banten m 6 9 yang potensi tsunami news liputan6 com,"['fakta', 'fakta', 'gempa', 'banten', 'm', '6', '9', 'yang', 'potensi', 'tsunami', 'news', 'liputan6', 'com']","['fakta', 'fakta', 'gempa', 'banten', 'm', '6', '9', 'potensi', 'tsunami', 'news', 'liputan6', 'com']",fakta fakta gempa banten m 6 9 potensi tsunami news liputan6 com
"ada retak di dinding bangunan pascagempa bisa jadi dilatasi, apa itu?",ada retak di dinding bangun pascagempa bisa jadi dilatasi apa itu,"['ada', 'retak', 'di', 'dinding', 'bangun', 'pascagempa', 'bisa', 'jadi', 'dilatasi', 'apa', 'itu']","['retak', 'dinding', 'bangun', 'pascagempa', 'dilatasi']",retak dinding bangun pascagempa dilatasi
"korban gempa banten 2 agustus, 4 orang meninggal dunia",korban gempa banten 2 agustus 4 orang tinggal dunia,"['korban', 'gempa', 'banten', '2', 'agustus', '4', 'orang', 'tinggal', 'dunia']","['korban', 'gempa', 'banten', '2', 'agustus', '4', 'orang', 'tinggal', 'dunia']",korban gempa banten 2 agustus 4 orang tinggal dunia
bmkg prediksi ada gempa susulan di madiun hingga tiga hari ke depan,bmkg prediksi ada gempa susul di madiun hingga tiga hari ke depan,"['bmkg', 'prediksi', 'ada', 'gempa', 'susul', 'di', 'madiun', 'hingga', 'tiga', 'hari', 'ke', 'depan']","['bmkg', 'prediksi', 'gempa', 'susul', 'madiun']",bmkg prediksi gempa susul madiun
"gempa banten: satu orang meninggal, seribu orang mengungsi",gempa banten satu orang tinggal ribu orang ungsi,"['gempa', 'banten', 'satu', 'orang', 'tinggal', 'ribu', 'orang', 'ungsi']","['gempa', 'banten', 'orang', 'tinggal', 'ribu', 'orang', 'ungsi']",gempa banten orang tinggal ribu orang ungsi
penjelasan bmkg soal getaran gempa di gedung tinggi terasa lebih lama,jelas bmkg soal getar gempa di gedung tinggi asa lebih lama,"['jelas', 'bmkg', 'soal', 'getar', 'gempa', 'di', 'gedung', 'tinggi', 'asa', 'lebih', 'lama']","['bmkg', 'getar', 'gempa', 'gedung', 'asa']",bmkg getar gempa gedung asa
bmkg: zona gempa bisa diprediksi tapi tidak dengan waktunya,bmkg zona gempa bisa prediksi tapi tidak dengan waktu,"['bmkg', 'zona', 'gempa', 'bisa', 'prediksi', 'tapi', 'tidak', 'dengan', 'waktu']","['bmkg', 'zona', 'gempa', 'prediksi']",bmkg zona gempa prediksi
"ribuan kilometer jauhnya, gempa banten terasa sampai sumbawa",ribu kilometer jauh gempa banten asa sampai sumbawa,"['ribu', 'kilometer', 'jauh', 'gempa', 'banten', 'asa', 'sampai', 'sumbawa']","['ribu', 'kilometer', 'gempa', 'banten', 'asa', 'sumbawa']",ribu kilometer gempa banten asa sumbawa
3 gempa dahsyat yang pernah mengguncang jakarta di masa lampau,3 gempa dahsyat yang pernah guncang jakarta di masa lampau,"['3', 'gempa', 'dahsyat', 'yang', 'pernah', 'guncang', 'jakarta', 'di', 'masa', 'lampau']","['3', 'gempa', 'dahsyat', 'guncang', 'jakarta', 'lampau']",3 gempa dahsyat guncang jakarta lampau
"infografik: mengenal skala mmi, satuan ukur kekuatan gempa bumi",infografik kenal skala mmi satu ukur kuat gempa bumi,"['infografik', 'kenal', 'skala', 'mmi', 'satu', 'ukur', 'kuat', 'gempa', 'bumi']","['infografik', 'kenal', 'skala', 'mmi', 'ukur', 'kuat', 'gempa', 'bumi']",infografik kenal skala mmi ukur kuat gempa bumi
menyimak mitos dan kisah legenda tentang gempa dari berbagai negara,simak mitos dan kisah legenda tentang gempa dari bagai negara,"['simak', 'mitos', 'dan', 'kisah', 'legenda', 'tentang', 'gempa', 'dari', 'bagai', 'negara']","['simak', 'mitos', 'kisah', 'legenda', 'gempa', 'negara']",simak mitos kisah legenda gempa negara
