title,description,published date,url,publisher
"Ada Gempa Saat Rapat di Pemkot Tangsel, Airin Panik - TangerangNews.com","Ada Gempa Saat Rapat di Pemkot Tangsel, Airin Panik  TangerangNews.com",2018-01-23 08:00:00+00:00,https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LnRhbmdlcmFuZ25ld3MuY29tL3RhbmdzZWwvcmVhZC8yMjcwMS9BZGEtR2VtcGEtU2FhdC1SYXBhdC1kaS1QZW1rb3QtVGFuZ3NlbC1BaXJpbi1QYW5pa9IBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.tangerangnews.com', 'title': 'TangerangNews.com'}"
Cerita warga Rangkasbitung selamatkan diri dari Gempa Lebak - ANTARA,Cerita warga Rangkasbitung selamatkan diri dari Gempa Lebak  ANTARA,2018-01-23 08:00:00+00:00,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmFudGFyYW5ld3MuY29tL2Jlcml0YS82Nzk4ODYvY2VyaXRhLXdhcmdhLXJhbmdrYXNiaXR1bmctc2VsYW1hdGthbi1kaXJpLWRhcmktZ2VtcGEtbGViYWvSAWZodHRwczovL20uYW50YXJhbmV3cy5jb20vYW1wL2Jlcml0YS82Nzk4ODYvY2VyaXRhLXdhcmdhLXJhbmdrYXNiaXR1bmctc2VsYW1hdGthbi1kaXJpLWRhcmktZ2VtcGEtbGViYWs?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.antaranews.com', 'title': 'ANTARA'}"
"Gempa Bikin 1 Rumah Rusak di Jagakarsa, 1 Orang Terluka - detikNews","Gempa Bikin 1 Rumah Rusak di Jagakarsa, 1 Orang Terluka  detikNews",2018-01-23 08:00:00+00:00,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtMzgyOTkxNi9nZW1wYS1iaWtpbi0xLXJ1bWFoLXJ1c2FrLWRpLWphZ2FrYXJzYS0xLW9yYW5nLXRlcmx1a2HSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://news.detik.com', 'title': 'detikNews'}"
"Gempa Lebak Terasa Hingga Lampung dan Bantul, Yogyakarta - CNN Indonesia","Gempa Lebak Terasa Hingga Lampung dan Bantul, Yogyakarta  CNN Indonesia",2018-01-23 08:00:00+00:00,https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LmNubmluZG9uZXNpYS5jb20vbmFzaW9uYWwvMjAxODAxMjMxNjE3MjYtMjAtMjcxMDE3L2dlbXBhLWxlYmFrLXRlcmFzYS1oaW5nZ2EtbGFtcHVuZy1kYW4tYmFudHVsLXlvZ3lha2FydGHSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.cnnindonesia.com', 'title': 'CNN Indonesia'}"
"Gempa Bumi, Gunung Berapi Guncang Kedua Sisi Pasifik - Bahasa Indonesia - VOA Indonesia","Gempa Bumi, Gunung Berapi Guncang Kedua Sisi Pasifik  Bahasa Indonesia - VOA Indonesia",2018-01-23 08:00:00+00:00,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LnZvYWluZG9uZXNpYS5jb20vYS9nZW1wYS1idW1pLWd1bnVuZy1iZXJhcGktZ3VuY2FuZy1rZWR1YS1zaXNpLXBhc2lmaWsvNDIyMDExMy5odG1s0gFhaHR0cHM6Ly93d3cudm9haW5kb25lc2lhLmNvbS9hbXAvZ2VtcGEtYnVtaS1ndW51bmctYmVyYXBpLWd1bmNhbmcta2VkdWEtc2lzaS1wYXNpZmlrLzQyMjAxMTMuaHRtbA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.voaindonesia.com', 'title': 'Bahasa Indonesia - VOA Indonesia'}"
"Diguncang Gempa, Pasien RSUD Pasar Minggu Dievakuasi ke Lobi - detikNews","Diguncang Gempa, Pasien RSUD Pasar Minggu Dievakuasi ke Lobi  detikNews",2018-01-23 08:00:00+00:00,https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtMzgyOTI5Ny9kaWd1bmNhbmctZ2VtcGEtcGFzaWVuLXJzdWQtcGFzYXItbWluZ2d1LWRpZXZha3Vhc2kta2UtbG9iadIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://news.detik.com', 'title': 'detikNews'}"
Jangan Keluar dari Gedung Tinggi Saat Gempa - VIVA.co.id,Jangan Keluar dari Gedung Tinggi Saat Gempa  VIVA.co.id,2018-01-23 08:00:00+00:00,https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LnZpdmEuY28uaWQvZ2F5YS1oaWR1cC9pbnNwaXJhc2ktdW5pay85OTk3NDEtamFuZ2FuLWtlbHVhci1kYXJpLWdlZHVuZy10aW5nZ2ktc2FhdC1nZW1wYdIBZ2h0dHBzOi8vd3d3LnZpdmEuY28uaWQvYW1wL2dheWEtaGlkdXAvaW5zcGlyYXNpLXVuaWsvOTk5NzQxLWphbmdhbi1rZWx1YXItZGFyaS1nZWR1bmctdGluZ2dpLXNhYXQtZ2VtcGE?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.viva.co.id', 'title': 'VIVA.co.id'}"
"Gempa Jakarta, Pabrik Toyota dan Daihatsu Sempat Berhenti - CNN Indonesia","Gempa Jakarta, Pabrik Toyota dan Daihatsu Sempat Berhenti  CNN Indonesia",2018-01-23 08:00:00+00:00,https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LmNubmluZG9uZXNpYS5jb20vb3RvbW90aWYvMjAxODAxMjMxNDE5MDgtNTc5LTI3MDk2NC9nZW1wYS1qYWthcnRhLXBhYnJpay10b3lvdGEtZGFuLWRhaWhhdHN1LXNlbXBhdC1iZXJoZW50adIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.cnnindonesia.com', 'title': 'CNN Indonesia'}"
"Ada Gempa, Jangan Lupa Selamatkan Dokumen dan Surat Berharga - detikFinance","Ada Gempa, Jangan Lupa Selamatkan Dokumen dan Surat Berharga  detikFinance",2018-01-23 08:00:00+00:00,https://news.google.com/rss/articles/CBMidGh0dHBzOi8vZmluYW5jZS5kZXRpay5jb20vcGVyZW5jYW5hYW4ta2V1YW5nYW4vZC0zODI5NjU4L2FkYS1nZW1wYS1qYW5nYW4tbHVwYS1zZWxhbWF0a2FuLWRva3VtZW4tZGFuLXN1cmF0LWJlcmhhcmdh0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://finance.detik.com', 'title': 'detikFinance'}"
"Gempa di Banten, atap aula sekolah Cahaya Madani di Pandeglang ambruk - Merdeka.com","Gempa di Banten, atap aula sekolah Cahaya Madani di Pandeglang ambruk  Merdeka.com",2018-01-23 08:00:00+00:00,https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3Lm1lcmRla2EuY29tL3BlcmlzdGl3YS9nZW1wYS1kaS1iYW50ZW4tYXRhcC1hdWxhLXNla29sYWgtY2FoYXlhLW1hZGFuaS1kaS1wYW5kZWdsYW5nLWFtYnJ1ay5odG1s0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.merdeka.com', 'title': 'Merdeka.com'}"
