title,description,published date,url,publisher
Kebakaran Kebun Sawit Meluas - Serambinews.com,Kebakaran Kebun Sawit Meluas  Serambinews.com,2018-02-03 08:00:00+00:00,https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vYWNlaC50cmlidW5uZXdzLmNvbS8yMDE4LzAyLzAzL2tlYmFrYXJhbi1rZWJ1bi1zYXdpdC1tZWx1YXPSAUdodHRwczovL2FjZWgudHJpYnVubmV3cy5jb20vYW1wLzIwMTgvMDIvMDMva2ViYWthcmFuLWtlYnVuLXNhd2l0LW1lbHVhcw?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://aceh.tribunnews.com', 'title': 'Serambinews.com'}"
Kebakaran di Gedung DPR/MPR Karena Korsleting - Tribunnews.com,Kebakaran di Gedung DPR/MPR Karena Korsleting  Tribunnews.com,2018-02-03 08:00:00+00:00,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LnRyaWJ1bm5ld3MuY29tL21ldHJvcG9saXRhbi8yMDE4LzAyLzAzL2tlYmFrYXJhbi1kaS1nZWR1bmctZHBybXByLWthcmVuYS1rb3JzbGV0aW5n0gFhaHR0cHM6Ly9tLnRyaWJ1bm5ld3MuY29tL2FtcC9tZXRyb3BvbGl0YW4vMjAxOC8wMi8wMy9rZWJha2FyYW4tZGktZ2VkdW5nLWRwcm1wci1rYXJlbmEta29yc2xldGluZw?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.tribunnews.com', 'title': 'Tribunnews.com'}"
Kepulan Asap di Gedung MPR akibat Dispenser yang Terbakar - Kompas.com,Kepulan Asap di Gedung MPR akibat Dispenser yang Terbakar  Kompas.com,2018-02-03 08:00:00+00:00,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vbWVnYXBvbGl0YW4ua29tcGFzLmNvbS9yZWFkLzIwMTgvMDIvMDMvMDg1NzEwNjEva2VwdWxhbi1hc2FwLWRpLWdlZHVuZy1tcHItYWtpYmF0LWRpc3BlbnNlci15YW5nLXRlcmJha2Fy0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://megapolitan.kompas.com', 'title': 'Kompas.com'}"
Foto: Sumbangan Pakaian untuk Korban Kebakaran Taman Sari Dibuang - detikNews,Foto: Sumbangan Pakaian untuk Korban Kebakaran Taman Sari Dibuang  detikNews,2018-02-04 08:00:00+00:00,https://news.google.com/rss/articles/CBMia2h0dHBzOi8vbmV3cy5kZXRpay5jb20vZm90by1uZXdzL2QtMzg0OTAzMy9mb3RvLXN1bWJhbmdhbi1wYWthaWFuLXVudHVrLWtvcmJhbi1rZWJha2FyYW4tdGFtYW4tc2FyaS1kaWJ1YW5n0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://news.detik.com', 'title': 'detikNews'}"
"Ini Penyebab Kebakaran Bangunan Tiga Lantai, di Jalan Cimuncang Kota Bandung Tadi Pagi - Tribunjabar.id - Tribun Jabar","Ini Penyebab Kebakaran Bangunan Tiga Lantai, di Jalan Cimuncang Kota Bandung Tadi Pagi - Tribunjabar.id  Tribun Jabar",2018-02-05 08:00:00+00:00,https://news.google.com/rss/articles/CBMifWh0dHBzOi8vamFiYXIudHJpYnVubmV3cy5jb20vMjAxOC8wMi8wNS9pbmktcGVueWViYWIta2ViYWthcmFuLWJhbmd1bmFuLXRpZ2EtbGFudGFpLWRpLWphbGFuLWNpbXVuY2FuZy1rb3RhLWJhbmR1bmctdGFkaS1wYWdp0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://jabar.tribunnews.com', 'title': 'Tribun Jabar'}"
"Ajak Artis, Eko Patrio Beri Bantuan Korban Kebakaran Krukut - JPNN.com","Ajak Artis, Eko Patrio Beri Bantuan Korban Kebakaran Krukut  JPNN.com",2018-02-05 08:00:00+00:00,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3Lmpwbm4uY29tL25ld3MvYWphay1hcnRpcy1la28tcGF0cmlvLWJlcmktYmFudHVhbi1rb3JiYW4ta2ViYWthcmFuLWtydWt1dNIBVmh0dHBzOi8vbS5qcG5uLmNvbS9hbXAvbmV3cy9hamFrLWFydGlzLWVrby1wYXRyaW8tYmVyaS1iYW50dWFuLWtvcmJhbi1rZWJha2FyYW4ta3J1a3V0?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.jpnn.com', 'title': 'JPNN.com'}"
Bus Damri Hangus Terbakar di Depan Kampus IPDN Jatinangor - detikNews,Bus Damri Hangus Terbakar di Depan Kampus IPDN Jatinangor  detikNews,2018-02-06 08:00:00+00:00,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhLWphd2EtYmFyYXQvZC0zODUyNDcxL2J1cy1kYW1yaS1oYW5ndXMtdGVyYmFrYXItZGktZGVwYW4ta2FtcHVzLWlwZG4tamF0aW5hbmdvctIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://news.detik.com', 'title': 'detikNews'}"
"Kebakaran Hotel Arum Selasa Dinihari, Polisi Pasang Police Line, Penyebabnya Masih Misteri - Banjarmasin Post","Kebakaran Hotel Arum Selasa Dinihari, Polisi Pasang Police Line, Penyebabnya Masih Misteri  Banjarmasin Post",2018-02-06 08:00:00+00:00,https://news.google.com/rss/articles/CBMihgFodHRwczovL2Jhbmphcm1hc2luLnRyaWJ1bm5ld3MuY29tLzIwMTgvMDIvMDYva2ViYWthcmFuLWhvdGVsLWFydW0tc2VsYXNhLWRpbmloYXJpLXBvbGlzaS1wYXNhbmctcG9saWNlLWxpbmUtcGVueWViYWJueWEtbWFzaWgtbWlzdGVyadIBigFodHRwczovL2Jhbmphcm1hc2luLnRyaWJ1bm5ld3MuY29tL2FtcC8yMDE4LzAyLzA2L2tlYmFrYXJhbi1ob3RlbC1hcnVtLXNlbGFzYS1kaW5paGFyaS1wb2xpc2ktcGFzYW5nLXBvbGljZS1saW5lLXBlbnllYmFibnlhLW1hc2loLW1pc3Rlcmk?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://banjarmasin.tribunnews.com', 'title': 'Banjarmasin Post'}"
Bus Damri Jatinangor Terbakar Karena Korslet di Panel Mesin Kemudi - Tirto.id,Bus Damri Jatinangor Terbakar Karena Korslet di Panel Mesin Kemudi  Tirto.id,2018-02-06 08:00:00+00:00,https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vdGlydG8uaWQvYnVzLWRhbXJpLWphdGluYW5nb3ItdGVyYmFrYXIta2FyZW5hLWtvcnNsZXQtZGktcGFuZWwtbWVzaW4ta2VtdWRpLWNFbjnSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://tirto.id', 'title': 'Tirto.id'}"
Kebakaran di Kampung Cina Bukittinggi Hanguskan CK Center - kumparan.com - kumparan.com,Kebakaran di Kampung Cina Bukittinggi Hanguskan CK Center - kumparan.com  kumparan.com,2018-02-06 08:00:00+00:00,https://news.google.com/rss/articles/CBMiRGh0dHBzOi8va3VtcGFyYW4uY29tL2xhbmdrYW5pZC9rZWJha2FyYW4tZGkta2FtcHVuZy1jaW5hLWJ1a2l0dGluZ2dp0gFKaHR0cHM6Ly9tLmt1bXBhcmFuLmNvbS9hbXAvbGFuZ2thbmlkL2tlYmFrYXJhbi1kaS1rYW1wdW5nLWNpbmEtYnVraXR0aW5nZ2k?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://kumparan.com', 'title': 'kumparan.com'}"
Siswa Imanusakti Islamic Kids Learning Centre Berlatih Simulasi Penanganan Kebakaran - Wartakota,Siswa Imanusakti Islamic Kids Learning Centre Berlatih Simulasi Penanganan Kebakaran  Wartakota,2018-02-07 08:00:00+00:00,https://news.google.com/rss/articles/CBMigAFodHRwczovL3dhcnRha290YS50cmlidW5uZXdzLmNvbS8yMDE4LzAyLzA3L3Npc3dhLWltYW51c2FrdGktaXNsYW1pYy1raWRzLWxlYXJuaW5nLWNlbnRyZS1iZXJsYXRpaC1zaW11bGFzaS1wZW5hbmdhbmFuLWtlYmFrYXJhbtIBhAFodHRwczovL3dhcnRha290YS50cmlidW5uZXdzLmNvbS9hbXAvMjAxOC8wMi8wNy9zaXN3YS1pbWFudXNha3RpLWlzbGFtaWMta2lkcy1sZWFybmluZy1jZW50cmUtYmVybGF0aWgtc2ltdWxhc2ktcGVuYW5nYW5hbi1rZWJha2FyYW4?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://wartakota.tribunnews.com', 'title': 'Wartakota'}"
Ratusan Pemuda Dilatih Jadi Relawan Damkar - kumparan.com - kumparan.com,Ratusan Pemuda Dilatih Jadi Relawan Damkar - kumparan.com  kumparan.com,2018-02-08 08:00:00+00:00,https://news.google.com/rss/articles/CBMiSmh0dHBzOi8va3VtcGFyYW4uY29tL2FtYm9ubmVzaWEvcmF0dXNhbi1wZW11ZGEtZGlsYXRpaC1qYWRpLXJlbGF3YW4tZGFta2Fy0gFQaHR0cHM6Ly9tLmt1bXBhcmFuLmNvbS9hbXAvYW1ib25uZXNpYS9yYXR1c2FuLXBlbXVkYS1kaWxhdGloLWphZGktcmVsYXdhbi1kYW1rYXI?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://kumparan.com', 'title': 'kumparan.com'}"
Ancaman Jokowi mencopot jajaran TNI dan polisi: efektifkah mengatasi kebakaran hutan? - BBC.com,Ancaman Jokowi mencopot jajaran TNI dan polisi: efektifkah mengatasi kebakaran hutan?  BBC.com,2018-02-08 08:00:00+00:00,https://news.google.com/rss/articles/CBMiMGh0dHBzOi8vd3d3LmJiYy5jb20vaW5kb25lc2lhL2luZG9uZXNpYS00Mjk2MDA4NtIBNGh0dHBzOi8vd3d3LmJiYy5jb20vaW5kb25lc2lhL2luZG9uZXNpYS00Mjk2MDA4Ni5hbXA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.bbc.com', 'title': 'BBC.com'}"
"Kebakaran di Jalan Satangnga Makassar, 8 Unit Damkar Dikerahkan ke Lokasi - Tribun Timur","Kebakaran di Jalan Satangnga Makassar, 8 Unit Damkar Dikerahkan ke Lokasi  Tribun Timur",2018-02-08 08:00:00+00:00,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vbWFrYXNzYXIudHJpYnVubmV3cy5jb20vMjAxOC8wMi8wOC9rZWJha2FyYW4tZGktamFsYW4tc2F0YW5nbmdhLW1ha2Fzc2FyLTgtdW5pdC1kYW1rYXItZGlrZXJhaGthbi1rZS1sb2thc2nSAXdodHRwczovL21ha2Fzc2FyLnRyaWJ1bm5ld3MuY29tL2FtcC8yMDE4LzAyLzA4L2tlYmFrYXJhbi1kaS1qYWxhbi1zYXRhbmduZ2EtbWFrYXNzYXItOC11bml0LWRhbWthci1kaWtlcmFoa2FuLWtlLWxva2FzaQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://makassar.tribunnews.com', 'title': 'Tribun Timur'}"
Empat Rumah Warga Panipahan Rohil Ludes Dilalap Api - WAWASANRIAU.com,Empat Rumah Warga Panipahan Rohil Ludes Dilalap Api  WAWASANRIAU.com,2018-02-09 08:00:00+00:00,https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd2F3YXNhbnJpYXUuY29tL25ld3MvZGV0YWlsLzI3NzAvbGFuY2FuZ2t1bmluZy9yb2hpbC9lbXBhdC1ydW1haC13YXJnYS1wYW5pcGFoYW4tcm9oaWwtbHVkZXMtZGlsYWxhcC1hcGnSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://wawasanriau.com', 'title': 'WAWASANRIAU.com'}"
"Tidak Digaji, Risiko Maut, Para Relawan Damkar Kalsel Bikin Kagum Relawan Negara Tetangga - Banjarmasin Post","Tidak Digaji, Risiko Maut, Para Relawan Damkar Kalsel Bikin Kagum Relawan Negara Tetangga  Banjarmasin Post",2018-02-11 08:00:00+00:00,https://news.google.com/rss/articles/CBMihQFodHRwczovL2Jhbmphcm1hc2luLnRyaWJ1bm5ld3MuY29tLzIwMTgvMDIvMTEvdGlkYWstZGlnYWppLXJpc2lrby1tYXV0LXBhcmEtcmVsYXdhbi1kYW1rYXIta2Fsc2VsLWJpa2luLWthZ3VtLXJlbGF3YW4tbmVnYXJhLXRldGFuZ2dh0gGJAWh0dHBzOi8vYmFuamFybWFzaW4udHJpYnVubmV3cy5jb20vYW1wLzIwMTgvMDIvMTEvdGlkYWstZGlnYWppLXJpc2lrby1tYXV0LXBhcmEtcmVsYXdhbi1kYW1rYXIta2Fsc2VsLWJpa2luLWthZ3VtLXJlbGF3YW4tbmVnYXJhLXRldGFuZ2dh?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://banjarmasin.tribunnews.com', 'title': 'Banjarmasin Post'}"
Manggala Agni Tingkatkan Kewaspadaan Antisipasi Karhutla - Nasional Tempo,Manggala Agni Tingkatkan Kewaspadaan Antisipasi Karhutla  Nasional Tempo,2018-02-12 08:00:00+00:00,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vbmFzaW9uYWwudGVtcG8uY28vcmVhZC8xMDYwNTU4L21hbmdnYWxhLWFnbmktdGluZ2thdGthbi1rZXdhc3BhZGFhbi1hbnRpc2lwYXNpLWthcmh1dGxh0gFeaHR0cHM6Ly9uYXNpb25hbC50ZW1wby5jby9hbXAvMTA2MDU1OC9tYW5nZ2FsYS1hZ25pLXRpbmdrYXRrYW4ta2V3YXNwYWRhYW4tYW50aXNpcGFzaS1rYXJodXRsYQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://nasional.tempo.co', 'title': 'Nasional Tempo'}"
Berkeliling Kota Malang dengan mobil pemadam kebakaran - ANTARA News - ANTARA,Berkeliling Kota Malang dengan mobil pemadam kebakaran - ANTARA News  ANTARA,2018-02-12 08:00:00+00:00,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3LmFudGFyYW5ld3MuY29tL3ZpZGVvLzY4NTE5MC9iZXJrZWxpbGluZy1rb3RhLW1hbGFuZy1kZW5nYW4tbW9iaWwtcGVtYWRhbS1rZWJha2FyYW7SAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.antaranews.com', 'title': 'ANTARA'}"
