published date,title,stem,tokens,tokens_clean,merged
2022-08-03 07:00:00+00:00,belasan motor mogok akibat nekat terjang banjir di bandar lampung,bas motor mogok akibat nekat terjang banjir di bandar lampung,"['bas', 'motor', 'mogok', 'akibat', 'nekat', 'terjang', 'banjir', 'di', 'bandar', 'lampung']","['bas', 'motor', 'mogok', 'akibat', 'nekat', 'terjang', 'banjir', 'bandar', 'lampung']",bas motor mogok akibat nekat terjang banjir bandar lampung
2022-08-04 07:00:00+00:00,"kala parigi moutong banjir bandang, penyebabnya?",kala parigi moutong banjir bandang sebab,"['kala', 'parigi', 'moutong', 'banjir', 'bandang', 'sebab']","['parigi', 'moutong', 'banjir', 'bandang']",parigi moutong banjir bandang
2022-08-04 07:00:00+00:00,banjir bandang di torue sulawesi tengah sebabkan setidaknya 63 rumah rusak,banjir bandang di torue sulawesi tengah sebab tidak 63 rumah rusak,"['banjir', 'bandang', 'di', 'torue', 'sulawesi', 'tengah', 'sebab', 'tidak', '63', 'rumah', 'rusak']","['banjir', 'bandang', 'torue', 'sulawesi', '63', 'rumah', 'rusak']",banjir bandang torue sulawesi 63 rumah rusak
2022-08-04 07:00:00+00:00,"40 kecamatan di bogor rawan longsor-banjir bandang, ini datanya",40 camat di bogor rawan longsor-banjir bandang ini data,"['40', 'camat', 'di', 'bogor', 'rawan', 'longsor-banjir', 'bandang', 'ini', 'data']","['40', 'camat', 'bogor', 'rawan', 'longsor-banjir', 'bandang', 'data']",40 camat bogor rawan longsor-banjir bandang data
2022-08-04 07:00:00+00:00,bpbd kalsel koordinasikan status waspada banjir kepada balangan dan hst,bpbd kalsel koordinasi status waspada banjir kepada balang dan hst,"['bpbd', 'kalsel', 'koordinasi', 'status', 'waspada', 'banjir', 'kepada', 'balang', 'dan', 'hst']","['bpbd', 'kalsel', 'koordinasi', 'status', 'waspada', 'banjir', 'balang', 'hst']",bpbd kalsel koordinasi status waspada banjir balang hst
2022-08-04 07:00:00+00:00,"warga muslim di india difitnah picu banjir bandang, dirundung dan dibui",warga muslim di india fitnah picu banjir bandang rundung dan bui,"['warga', 'muslim', 'di', 'india', 'fitnah', 'picu', 'banjir', 'bandang', 'rundung', 'dan', 'bui']","['warga', 'muslim', 'india', 'fitnah', 'picu', 'banjir', 'bandang', 'rundung', 'bui']",warga muslim india fitnah picu banjir bandang rundung bui
2022-08-04 07:00:00+00:00,"akibat hujan deras, ratusan rumah terendam banjir",akibat hujan deras ratus rumah rendam banjir,"['akibat', 'hujan', 'deras', 'ratus', 'rumah', 'rendam', 'banjir']","['akibat', 'hujan', 'deras', 'ratus', 'rumah', 'rendam', 'banjir']",akibat hujan deras ratus rumah rendam banjir
2022-08-05 07:00:00+00:00,"antisipasi banjir, dinas pupr prkp ajak warga desa bersihkan sampah | situs resmi pemerintah kabupaten tuban",antisipasi banjir dinas pupr prkp ajak warga desa sih sampah situs resmi perintah kabupaten tuban,"['antisipasi', 'banjir', 'dinas', 'pupr', 'prkp', 'ajak', 'warga', 'desa', 'sih', 'sampah', 'situs', 'resmi', 'perintah', 'kabupaten', 'tuban']","['antisipasi', 'banjir', 'dinas', 'pupr', 'prkp', 'ajak', 'warga', 'desa', 'sih', 'sampah', 'situs', 'resmi', 'perintah', 'kabupaten', 'tuban']",antisipasi banjir dinas pupr prkp ajak warga desa sih sampah situs resmi perintah kabupaten tuban
2022-08-05 07:00:00+00:00,bupati dan wabup banyuasin tinjau titik banjir yang mengepung sejumlah kelurahan di banyuasin iii,bupati dan wabup banyuasin tinjau titik banjir yang kepung jumlah lurah di banyuasin iii,"['bupati', 'dan', 'wabup', 'banyuasin', 'tinjau', 'titik', 'banjir', 'yang', 'kepung', 'jumlah', 'lurah', 'di', 'banyuasin', 'iii']","['bupati', 'wabup', 'banyuasin', 'tinjau', 'titik', 'banjir', 'kepung', 'lurah', 'banyuasin', 'iii']",bupati wabup banyuasin tinjau titik banjir kepung lurah banyuasin iii
2022-08-06 07:00:00+00:00,banjir kabupaten banyuasin berangsur surut,banjir kabupaten banyuasin angsur surut,"['banjir', 'kabupaten', 'banyuasin', 'angsur', 'surut']","['banjir', 'kabupaten', 'banyuasin', 'angsur', 'surut']",banjir kabupaten banyuasin angsur surut
2022-08-07 07:00:00+00:00,"musim kemarau, kabupaten katingan dilanda banjir",musim kemarau kabupaten katingan landa banjir,"['musim', 'kemarau', 'kabupaten', 'katingan', 'landa', 'banjir']","['musim', 'kemarau', 'kabupaten', 'katingan', 'landa', 'banjir']",musim kemarau kabupaten katingan landa banjir
2022-08-08 07:00:00+00:00,bpbd bolaang mongondow selatan siagakan personel atasi dampak banjir,bpbd bolaang mongondow selatan siaga personel atas dampak banjir,"['bpbd', 'bolaang', 'mongondow', 'selatan', 'siaga', 'personel', 'atas', 'dampak', 'banjir']","['bpbd', 'bolaang', 'mongondow', 'selatan', 'siaga', 'personel', 'dampak', 'banjir']",bpbd bolaang mongondow selatan siaga personel dampak banjir
