published date,title,stem,tokens,tokens_clean,merged
2020-11-12 08:00:00+00:00,"gubernur ntb janji bangun rumah untuk korban kebakaran di desa baturotok, sumbawa halaman all",gubernur ntb janji bangun rumah untuk korban bakar di desa baturotok sumbawa halaman all,"['gubernur', 'ntb', 'janji', 'bangun', 'rumah', 'untuk', 'korban', 'bakar', 'di', 'desa', 'baturotok', 'sumbawa', 'halaman', 'all']","['gubernur', 'ntb', 'janji', 'bangun', 'rumah', 'korban', 'bakar', 'desa', 'baturotok', 'sumbawa', 'halaman', 'all']",gubernur ntb janji bangun rumah korban bakar desa baturotok sumbawa halaman all
2020-11-12 08:00:00+00:00,pejabat kejagung hingga arsitek diperiksa jadi saksi kasus kebakaran,jabat jagung hingga arsitek periksa jadi saksi kasus bakar,"['jabat', 'jagung', 'hingga', 'arsitek', 'periksa', 'jadi', 'saksi', 'kasus', 'bakar']","['jabat', 'jagung', 'arsitek', 'periksa', 'saksi', 'bakar']",jabat jagung arsitek periksa saksi bakar
2020-11-12 08:00:00+00:00,"kebakaran gudang penyimpanan herbisida, 2,5 jam damkar tiga kota padamkan api",bakar gudang simpan herbisida 2 5 jam damkar tiga kota padam api,"['bakar', 'gudang', 'simpan', 'herbisida', '2', '5', 'jam', 'damkar', 'tiga', 'kota', 'padam', 'api']","['bakar', 'gudang', 'simpan', 'herbisida', '2', '5', 'jam', 'damkar', 'kota', 'padam', 'api']",bakar gudang simpan herbisida 2 5 jam damkar kota padam api
2020-11-13 08:00:00+00:00,babak baru kasus kebakaran gedung kejagung,babak baru kasus bakar gedung jagung,"['babak', 'baru', 'kasus', 'bakar', 'gedung', 'jagung']","['babak', 'bakar', 'gedung', 'jagung']",babak bakar gedung jagung
2020-11-13 08:00:00+00:00,"api berkobar hebat di jalan faqih usman 1 ulu palembang, ledakan terdengar silih berganti",api kobar hebat di jalan faqih usman 1 ulu palembang ledak dengar silih ganti,"['api', 'kobar', 'hebat', 'di', 'jalan', 'faqih', 'usman', '1', 'ulu', 'palembang', 'ledak', 'dengar', 'silih', 'ganti']","['api', 'kobar', 'hebat', 'jalan', 'faqih', 'usman', '1', 'ulu', 'palembang', 'ledak', 'dengar', 'silih', 'ganti']",api kobar hebat jalan faqih usman 1 ulu palembang ledak dengar silih ganti
2020-11-13 08:00:00+00:00,detik-detik kebakaran gudang kapas di bandung,detik bakar gudang kapas di bandung,"['detik', 'bakar', 'gudang', 'kapas', 'di', 'bandung']","['detik', 'bakar', 'gudang', 'kapas', 'bandung']",detik bakar gudang kapas bandung
2020-11-13 08:00:00+00:00,"ratusan kios di pasar weleri kendal terbakar, 10 mobil pemadam dikerahkan",ratus kios di pasar weleri kendal bakar 10 mobil madam kerah,"['ratus', 'kios', 'di', 'pasar', 'weleri', 'kendal', 'bakar', '10', 'mobil', 'madam', 'kerah']","['ratus', 'kios', 'pasar', 'weleri', 'kendal', 'bakar', '10', 'mobil', 'madam', 'kerah']",ratus kios pasar weleri kendal bakar 10 mobil madam kerah
2020-11-13 08:00:00+00:00,material acp tidak tahan api buat kebakaran kejagung mudah merambat,material acp tidak tahan api buat bakar jagung mudah rambat,"['material', 'acp', 'tidak', 'tahan', 'api', 'buat', 'bakar', 'jagung', 'mudah', 'rambat']","['material', 'acp', 'tahan', 'api', 'bakar', 'jagung', 'mudah', 'rambat']",material acp tahan api bakar jagung mudah rambat
2020-11-13 08:00:00+00:00,polri tetapkan tersangka baru kasus kebakaran kejaksaan agung,polri tetap sangka baru kasus bakar jaksa agung,"['polri', 'tetap', 'sangka', 'baru', 'kasus', 'bakar', 'jaksa', 'agung']","['polri', 'sangka', 'bakar', 'jaksa', 'agung']",polri sangka bakar jaksa agung
2020-11-13 08:00:00+00:00,greenpeace: perusahaan korsel bakar hutan papua seluas seoul,greenpeace usaha korsel bakar hutan papua luas seoul,"['greenpeace', 'usaha', 'korsel', 'bakar', 'hutan', 'papua', 'luas', 'seoul']","['greenpeace', 'usaha', 'korsel', 'bakar', 'hutan', 'papua', 'luas', 'seoul']",greenpeace usaha korsel bakar hutan papua luas seoul
2020-11-13 08:00:00+00:00,pasar weleri kendal terbakar,pasar weleri kendal bakar,"['pasar', 'weleri', 'kendal', 'bakar']","['pasar', 'weleri', 'kendal', 'bakar']",pasar weleri kendal bakar
2020-11-13 08:00:00+00:00,polisi selidiki penyebab kebakaran besar di pasar weleri kendal,polisi selidik sebab bakar besar di pasar weleri kendal,"['polisi', 'selidik', 'sebab', 'bakar', 'besar', 'di', 'pasar', 'weleri', 'kendal']","['polisi', 'selidik', 'bakar', 'pasar', 'weleri', 'kendal']",polisi selidik bakar pasar weleri kendal
2020-11-13 08:00:00+00:00,penampakan pasar weleri kendal yang hangus terbakar,tampak pasar weleri kendal yang hangus bakar,"['tampak', 'pasar', 'weleri', 'kendal', 'yang', 'hangus', 'bakar']","['pasar', 'weleri', 'kendal', 'hangus', 'bakar']",pasar weleri kendal hangus bakar
2020-11-13 08:00:00+00:00,penjelasan ahli soal acp yang jadi penyebab kebakaran di kejagung,jelas ahli soal acp yang jadi sebab bakar di jagung,"['jelas', 'ahli', 'soal', 'acp', 'yang', 'jadi', 'sebab', 'bakar', 'di', 'jagung']","['ahli', 'acp', 'bakar', 'jagung']",ahli acp bakar jagung
2020-11-13 08:00:00+00:00,"pasar weleri kendal terbakar, pemadaman terkendala hidran",pasar weleri kendal bakar madam kendala hidran,"['pasar', 'weleri', 'kendal', 'bakar', 'madam', 'kendala', 'hidran']","['pasar', 'weleri', 'kendal', 'bakar', 'madam', 'kendala', 'hidran']",pasar weleri kendal bakar madam kendala hidran
2020-11-13 08:00:00+00:00,total 37 bangkai bus transjakarta terbakar di bogor,total 37 bangkai bus transjakarta bakar di bogor,"['total', '37', 'bangkai', 'bus', 'transjakarta', 'bakar', 'di', 'bogor']","['total', '37', 'bangkai', 'bus', 'transjakarta', 'bakar', 'bogor']",total 37 bangkai bus transjakarta bakar bogor
2020-11-13 08:00:00+00:00,"puluhan rongsokan bus transjakarta terbakar, 10 unit damkar dikerahkan",puluh rongsok bus transjakarta bakar 10 unit damkar kerah,"['puluh', 'rongsok', 'bus', 'transjakarta', 'bakar', '10', 'unit', 'damkar', 'kerah']","['puluh', 'rongsok', 'bus', 'transjakarta', 'bakar', '10', 'unit', 'damkar', 'kerah']",puluh rongsok bus transjakarta bakar 10 unit damkar kerah
2020-11-13 08:00:00+00:00,kriminal jabodetabek: ondel-ondel maling hp; lanjutan kasus kebakaran kejagung,kriminal jabodetabek ondel-ondel maling hp lanjut kasus bakar jagung,"['kriminal', 'jabodetabek', 'ondel-ondel', 'maling', 'hp', 'lanjut', 'kasus', 'bakar', 'jagung']","['kriminal', 'jabodetabek', 'ondel-ondel', 'maling', 'hp', 'bakar', 'jagung']",kriminal jabodetabek ondel-ondel maling hp bakar jagung
2020-11-13 08:00:00+00:00,"fakta kebakaran pasar weleri di kendal, 90 persen bangunan ludes, pedagang memaksa selamatkan barang",fakta bakar pasar weleri di kendal 90 persen bangun ludes dagang paksa selamat barang,"['fakta', 'bakar', 'pasar', 'weleri', 'di', 'kendal', '90', 'persen', 'bangun', 'ludes', 'dagang', 'paksa', 'selamat', 'barang']","['fakta', 'bakar', 'pasar', 'weleri', 'kendal', '90', 'persen', 'bangun', 'ludes', 'dagang', 'paksa', 'selamat', 'barang']",fakta bakar pasar weleri kendal 90 persen bangun ludes dagang paksa selamat barang
2020-11-13 08:00:00+00:00,investigasi 15 tahun kebakaran hutan di papua oleh perusahaan korsel,investigasi 15 tahun bakar hutan di papua oleh usaha korsel,"['investigasi', '15', 'tahun', 'bakar', 'hutan', 'di', 'papua', 'oleh', 'usaha', 'korsel']","['investigasi', '15', 'bakar', 'hutan', 'papua', 'usaha', 'korsel']",investigasi 15 bakar hutan papua usaha korsel
2020-11-13 08:00:00+00:00,12 unit damkar dikerahkan padamkan kebakaran di gudang bus transjakarta,12 unit damkar kerah padam bakar di gudang bus transjakarta,"['12', 'unit', 'damkar', 'kerah', 'padam', 'bakar', 'di', 'gudang', 'bus', 'transjakarta']","['12', 'unit', 'damkar', 'kerah', 'padam', 'bakar', 'gudang', 'bus', 'transjakarta']",12 unit damkar kerah padam bakar gudang bus transjakarta
2020-11-13 08:00:00+00:00,"terbakar semalam, 95 persen kios di pasar weleri kendal ludes",bakar malam 95 persen kios di pasar weleri kendal ludes,"['bakar', 'malam', '95', 'persen', 'kios', 'di', 'pasar', 'weleri', 'kendal', 'ludes']","['bakar', 'malam', '95', 'persen', 'kios', 'pasar', 'weleri', 'kendal', 'ludes']",bakar malam 95 persen kios pasar weleri kendal ludes
2020-11-14 08:00:00+00:00,"bpbd nagan raya sebar nomor pengaduaan kebakaran, warga diingatkan tak menyalahgunakan",bpbd nagan raya sebar nomor pengaduaan bakar warga ingat tak menyalahgunakan,"['bpbd', 'nagan', 'raya', 'sebar', 'nomor', 'pengaduaan', 'bakar', 'warga', 'ingat', 'tak', 'menyalahgunakan']","['bpbd', 'nagan', 'raya', 'sebar', 'nomor', 'pengaduaan', 'bakar', 'warga', 'menyalahgunakan']",bpbd nagan raya sebar nomor pengaduaan bakar warga menyalahgunakan
